TRANSACTION_ID,POLICY_PUBLIC_ID,QUOTE_PUBLIC_ID,USER_PUBLIC_ID,INVOICE_PUBLIC_ID,TRANSACTION_STATUS,INVOICE_STATUS,CHARGE_CATEGORY,PRODUCT,SUBSCRIPTION_INTERVAL,PROCESSOR,PROVIDER_TYPE,IS_GATEWAY,ATTEMPT_NUMBER,AMOUNT,CURRENCY,PROVIDER_METHOD_TYPE,CREDIT_CARD_BRAND,ERROR_MESSAGE,TRANSACTION_PROCESSING_STARTED_AT,INVOICE_CREATED_AT
52169903,LPP54#####216,LPQ441#####6332,LU12#####0C1,LINV-#####NMHfYo,success,paid,new policy transaction,pet,monthly,adyen,spreedly_adyen,True,1,45.47,usd,apple_pay,Visa,,2025-05-27 17:02:53,2025-05-27 17:02:53
52182346,LPP16#####371,LPQ306#####7040,LU29#####E06,LINV-#####Bv2gwf,success,paid,new policy transaction,pet,monthly,stripe,spreedly_stripe,True,1,24.76,usd,apple_pay,Visa,,2025-05-28 0:15:49,2025-05-28 0:15:49
52180306,LPP06#####301,LPQ972#####4150,LU5C#####1C7,LINV-#####rQpzyw,success,paid,new policy transaction,pet,monthly,stripe,spreedly_stripe,True,1,28.34,usd,apple_pay,MasterCard,,2025-05-27 23:06:09,2025-05-27 23:06:09
52170384,LPP01#####148,LPQ075#####1701,LU4E#####F88,LINV-#####oJDySc,success,paid,new policy transaction,pet,monthly,stripe,spreedly_stripe,True,1,35.24,usd,apple_pay,Visa,,2025-05-27 17:22:34,2025-05-27 17:22:34
55419358,LPP35#####503,LPQ850#####8166,LU31#####B05,LINV-#####p2Cd_9,success,paid,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,1,38.71,usd,apple_pay,Visa,,2025-06-23 14:50:42,2025-06-23 14:50:42
55653734,LPP63#####425,LPQ519#####3995,LU49#####084,LINV-#####goFIx0,success,paid,recurring transaction,pet,monthly,adyen,spreedly_adyen,True,1,44.43,usd,apple_pay,Visa,,2025-06-25 15:00:41,2025-06-25 15:00:41
55660878,LPP12#####625,LPQ200#####2203,LU5E#####247,LINV-#####HIHN5K,success,paid,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,1,67.86,usd,apple_pay,Visa,,2025-06-25 15:38:25,2025-06-25 15:38:25
55636213,LPP67#####030,LPQ044#####8061,LU27#####A06,LINV-#####X83MDw,success,paid,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,1,69.55,usd,apple_pay,Discover,,2025-06-25 13:52:43,2025-06-25 13:52:43
55635424,LPP22#####232,LPQ645#####1601,LU9D#####2B2,LINV-#####yhPV7R,success,paid,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,1,42.51,usd,apple_pay,Visa,,2025-06-25 13:48:43,2025-06-25 13:48:42
58273220,LPP04#####853,LPQ647#####2263,LU5E#####4C7,LINV-#####fb0rPI,refused,error,dunning transaction,pet,monthly,stripe,spreedly_stripe,True,1,80.91,usd,apple_pay,Visa,Your card has insufficient funds.,2025-07-14 12:32:13,2025-06-29 12:31:59
52177200,LPP67#####307,LPQ848#####6468,LU5E#####0C7,LINV-#####0z1EQ5,success,paid,new policy transaction,pet,monthly,adyen,spreedly_adyen,True,1,56.27,usd,apple_pay,Visa,,2025-05-27 20:25:27,2025-05-27 20:25:27
52078331,LPP83#####695,LPQ576#####7872,LU12#####A01,LINV-#####sz1uNV,success,paid,new policy transaction,pet,monthly,stripe,spreedly_stripe,True,1,32.75,usd,apple_pay,Visa,,2025-05-27 5:44:27,2025-05-27 5:44:27
52168929,LPP69#####329,LPQ752#####0953,LU9D#####B72,LINV-#####R5ukii,success,paid,new policy transaction,pet,monthly,adyen,spreedly_adyen,True,1,41.22,usd,apple_pay,Visa,,2025-05-27 16:19:07,2025-05-27 16:19:07
52189472,,LPQ167#####9628,LU1F#####D81,LINV-#####qmRgCM,error,canceled,new policy transaction,pet,monthly,adyen,spreedly_adyen,True,1,29.65,usd,apple_pay,Visa,Not enough balance | 51 : Insufficient funds/over credit limit,2025-05-28 3:24:06,2025-05-28 3:24:06
52180778,LPP75#####058,LPQ055#####2624,LU4E#####708,LINV-#####as_Djr,success,paid,new policy transaction,pet,monthly,adyen,spreedly_adyen,True,1,41.17,usd,apple_pay,MasterCard,,2025-05-27 23:36:15,2025-05-27 23:36:15
52171878,,LPQ743#####2892,LU6B#####333,LINV-#####kBYt_4,error,canceled,new policy transaction,pet,monthly,adyen,spreedly_adyen,True,1,29.07,usd,apple_pay,Visa,"Declined Non Generic | 78 : Blocked, first used",2025-05-27 18:14:25,2025-05-27 18:14:25
52170668,LPP36#####081,LPQ858#####5744,LU5E#####947,LINV-#####Ol2pU3,success,paid,new policy transaction,pet,annual,cko,spreedly_cko,True,1,220.58,usd,apple_pay,Visa,,2025-05-27 17:34:15,2025-05-27 17:34:15
57103437,LPP41#####447,LPQ674#####9387,LU5E#####347,LINV-#####r-YvtL,refused,error,dunning transaction,pet,monthly,stripe,spreedly_stripe,True,1,56.67,usd,apple_pay,Visa,Your card does not support this type of purchase.,2025-07-05 10:55:53,2025-06-29 10:55:40
51532940,LPP34#####485,LPQ022#####3877,LU95#####2F2,LINV-#####QRuEc7,success,paid,new policy transaction,pet,monthly,stripe,spreedly_stripe,True,1,35.46,usd,apple_pay,MasterCard,,2025-05-21 17:30:28,2025-05-21 17:30:28
57477006,LPP41#####447,LPQ674#####9387,LU5E#####347,LINV-#####r-YvtL,refused,error,dunning transaction,pet,monthly,stripe,spreedly_stripe,True,1,56.67,usd,apple_pay,Visa,Your card does not support this type of purchase.,2025-07-08 10:55:55,2025-06-29 10:55:40
57498667,LPP04#####853,LPQ647#####2263,LU5E#####4C7,LINV-#####fb0rPI,refused,error,dunning transaction,pet,monthly,adyen,spreedly_adyen,True,1,80.91,usd,apple_pay,Visa,Not enough balance | 51 : Insufficient funds/over credit limit,2025-07-08 12:32:09,2025-06-29 12:31:59
51644571,LPP09#####309,LPQ934#####9218,LU11#####2C1,LINV-#####NUHc3U,success,paid,new policy transaction,pet,monthly,stripe,spreedly_stripe,True,1,46.89,usd,apple_pay,Visa,,2025-05-22 17:39:33,2025-05-22 17:39:33
51661056,LPP05#####908,LPQ664#####3515,LU39#####505,LINV-#####JiN-ic,success,paid,new policy transaction,pet,monthly,adyen,spreedly_adyen,True,1,43.49,usd,apple_pay,MasterCard,,2025-05-23 3:29:33,2025-05-23 3:29:33
56325541,LPP64#####858,LPQ039#####3144,LU6B#####E53,LINV-#####EKMzDb,refused,paid,dunning transaction,pet,monthly,adyen,spreedly_adyen,True,1,49.53,usd,apple_pay,Visa,Not enough balance | 51 : Insufficient funds,2025-06-30 15:15:23,2025-06-24 15:15:09
56032578,LPP41#####411,LPQ577#####3552,LU47#####708,LINV-#####apd5oB,success,paid,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,1,82.84,usd,apple_pay,MasterCard,,2025-06-28 15:12:29,2025-06-28 15:12:29
52285257,LPP84#####811,LPQ687#####0170,LU49#####084,LINV-#####F11DKJ,success,paid,new policy transaction,pet,monthly,cko,spreedly_cko,True,1,82.53,usd,apple_pay,Visa,,2025-05-28 15:11:09,2025-05-28 15:11:09
51538776,LPP79#####332,LPQ711#####0839,LU12#####281,LINV-#####2FS5DO,success,paid,new policy transaction,pet,monthly,cko,spreedly_cko,True,1,138.22,usd,apple_pay,Visa,,2025-05-21 20:14:15,2025-05-21 20:14:15
56079548,LPP59#####545,LPQ961#####7959,LU8E#####E99,LINV-#####BIur3S,success,paid,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,1,36.68,usd,apple_pay,Visa,,2025-06-29 9:43:38,2025-06-29 9:43:38
56186287,LPP40#####776,LPQ295#####1438,LU9D#####312,LINV-#####rshR1_,success,paid,recurring transaction,pet,monthly,adyen,spreedly_adyen,True,1,67.79,usd,apple_pay,Visa,,2025-06-30 8:28:19,2025-06-30 8:28:19
56217766,LPP60#####485,LPQ260#####0261,LU49#####384,LINV-#####nZZzSS,refused,error,dunning transaction,pet,monthly,stripe,spreedly_stripe,True,1,25.75,usd,apple_pay,Visa,Your card does not support this type of purchase.,2025-06-30 10:10:31,2025-06-27 9:44:33
56242725,LPP90#####550,LPQ283#####3344,LU39#####D05,LINV-#####NohzHp,error,error,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,2,43.97,usd,apple_pay,Visa,Your card was declined.,2025-06-30 11:28:17,2025-06-30 11:28:16
51940867,,LPQ512#####5328,LU4E#####088,LINV-#####BCW_vJ,error,canceled,new policy transaction,pet,monthly,adyen,spreedly_adyen,True,2,62.07,usd,apple_pay,Visa,Refused | 05 : Do not honor,2025-05-25 14:11:12,2025-05-25 14:11:12
55970557,LPP19#####499,LPQ179#####6585,LU4E#####208,LINV-#####XHn3R8,success,paid,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,1,55.63,usd,apple_pay,Visa,,2025-06-28 11:03:12,2025-06-28 11:03:12
57195148,LPP99#####645,LPQ922#####8444,LU49#####784,LINV-#####y3GzZK,refused,error,dunning transaction,pet,monthly,adyen,spreedly_adyen,True,1,36.86,usd,apple_pay,Visa,Not enough balance | 51 : Insufficient funds/over credit limit,2025-07-06 8:41:01,2025-06-24 8:40:51
57230807,LPP54#####678,LPQ174#####9914,LU48#####F84,LINV-#####JbE5et,refused,error,dunning transaction,pet,monthly,stripe,spreedly_stripe,True,1,44.3,usd,apple_pay,Visa,Your card does not support this type of purchase.,2025-07-06 11:40:38,2025-06-30 11:40:30
57187085,LPP89#####254,LPQ413#####6906,LU6B#####FF3,LINV-#####0dm4nI,refused,paid,dunning transaction,pet,monthly,stripe,spreedly_stripe,True,1,22.59,usd,apple_pay,MasterCard,Your card has insufficient funds.,2025-07-06 7:07:38,2025-06-27 13:35:09
52415560,LPP80#####349,LPQ266#####6983,LU49#####484,LINV-#####ukfjvn,success,paid,new policy transaction,pet,monthly,cko,spreedly_cko,True,1,169.33,usd,apple_pay,Visa,,2025-05-29 23:04:33,2025-05-29 23:04:33
51756918,LPP94#####632,LPQ474#####6554,LU7D#####944,LINV-#####bCdSNX,success,paid,new policy transaction,pet,monthly,adyen,spreedly_adyen,True,1,45.22,usd,apple_pay,MasterCard,,2025-05-23 19:03:16,2025-05-23 19:03:16
57119798,LPP79#####544,LPQ838#####0986,LU39#####405,LINV-#####v3WKOP,refused,error,dunning transaction,pet,monthly,cko,spreedly_cko,True,1,55.88,usd,apple_pay,Visa,Insufficient Funds,2025-07-05 12:13:25,2025-06-23 12:12:39
57087460,LPP96#####245,LPQ976#####1986,LU81#####859,LINV-#####yxstmR,refused,error,dunning transaction,pet,monthly,adyen,spreedly_adyen,True,1,58.7,usd,apple_pay,Visa,"Blocked Card | 07 : Pickup card, special condition",2025-07-05 9:36:33,2025-06-23 9:36:22
57119909,LPP97#####312,LPQ877#####4731,LU81#####C19,LINV-#####sbdmo6,refused,error,dunning transaction,pet,monthly,stripe,spreedly_stripe,True,1,47.03,usd,apple_pay,Visa,Your card has insufficient funds.,2025-07-05 12:13:52,2025-06-23 12:13:40
58061792,LPP05#####046,LPQ063#####0052,LU5E#####1C7,LINV-#####xNGGEI,refused,error,dunning transaction,pet,monthly,adyen,spreedly_adyen,True,1,35.74,usd,apple_pay,Visa,"Declined Non Generic | 78 : Blocked, first used",2025-07-12 15:23:25,2025-06-24 15:23:09
52257825,LPP41#####447,LPQ674#####9387,LU5E#####347,LINV-#####Su1HIC,success,paid,new policy transaction,pet,monthly,stripe,spreedly_stripe,True,1,56.67,usd,apple_pay,Visa,,2025-05-28 13:15:15,2025-05-28 13:15:15
52127406,LPP75#####432,LPQ913#####4881,LU49#####284,LINV-#####zIxJ_g,success,paid,new policy transaction,pet,annual,stripe,spreedly_stripe,True,1,221.66,usd,apple_pay,Visa,,2025-05-27 12:20:11,2025-05-27 12:20:11
56013863,LPP93#####764,LPQ790#####2919,LU9D#####E32,LINV-#####3uS4KM,success,paid,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,1,51.09,usd,apple_pay,Visa,,2025-06-28 14:05:30,2025-06-28 14:05:30
56015545,LPP05#####754,LPQ956#####6578,LU39#####D05,LINV-#####jWtapa,success,paid,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,1,34.83,usd,apple_pay,Visa,,2025-06-28 14:11:40,2025-06-28 14:11:40
55500421,LPP54#####068,LPQ937#####9112,LU39#####905,LINV-#####QoUwFg,success,paid,recurring transaction,pet,monthly,adyen,spreedly_adyen,True,1,58.86,usd,apple_pay,Visa,,2025-06-24 12:31:43,2025-06-24 12:31:42
52189473,,LPQ167#####9628,LU1F#####D81,LINV-#####qmRgCM,error,canceled,new policy transaction,pet,monthly,stripe,spreedly_stripe,True,2,29.65,usd,apple_pay,Visa,Your card was declined.,2025-05-28 3:24:06,2025-05-28 3:24:06
52152744,LPP04#####729,LPQ689#####6747,LU9D#####312,LINV-#####DH1ajC,success,paid,new policy transaction,pet,annual,stripe,spreedly_stripe,True,1,282.83,usd,apple_pay,Visa,,2025-05-27 14:31:08,2025-05-27 14:31:07
52168682,LPP90#####498,LPQ041#####3412,LU5E#####3C7,LINV-#####1VGn01,success,paid,new policy transaction,pet,monthly,adyen,spreedly_adyen,True,1,39.55,usd,apple_pay,MasterCard,,2025-05-27 16:07:42,2025-05-27 16:07:42
52299902,LPP18#####840,LPQ255#####5526,LU45#####908,LINV-#####FyMUxk,success,paid,new policy transaction,pet,annual,adyen,spreedly_adyen,True,1,592.12,usd,apple_pay,Visa,,2025-05-28 20:40:37,2025-05-28 20:40:37
52311150,LPP67#####203,LPQ841#####5037,LU9B#####612,LINV-#####IFw7jX,success,paid,new policy transaction,pet,monthly,adyen,spreedly_adyen,True,1,46.55,usd,apple_pay,MasterCard,,2025-05-29 3:01:01,2025-05-29 3:01:01
52289199,LPP32#####666,LPQ801#####8769,LU57#####6C7,LINV-#####M9xUuI,success,paid,new policy transaction,pet,monthly,cko,spreedly_cko,True,1,57.98,usd,apple_pay,Visa,,2025-05-28 15:32:32,2025-05-28 15:32:31
52186517,LPP95#####267,LPQ083#####4814,LU7D#####1C4,LINV-#####OROo8u,success,paid,new policy transaction,pet,monthly,adyen,spreedly_adyen,True,1,95.71,usd,apple_pay,MasterCard,,2025-05-28 1:11:48,2025-05-28 1:11:47
52176408,LPP63#####542,LPQ190#####8546,LU29#####E06,LINV-#####KiQLNR,success,paid,new policy transaction,pet,monthly,stripe,spreedly_stripe,True,1,86.63,usd,apple_pay,Visa,,2025-05-27 19:59:07,2025-05-27 19:59:06
52179792,LPP93#####801,LPQ577#####5226,LU4E#####208,LINV-#####VPBQZH,success,paid,new policy transaction,pet,monthly,stripe,spreedly_stripe,True,1,24.56,usd,apple_pay,Visa,,2025-05-27 22:36:59,2025-05-27 22:36:59
52187818,,LPQ995#####0172,LU29#####706,LINV-#####1CpgsG,refused,canceled,new policy transaction,pet,annual,cko,spreedly_cko,True,3,444.1,usd,apple_pay,Visa,Declined - Do Not Honour,2025-05-28 1:35:52,2025-05-28 1:35:52
52181112,LPP16#####070,LPQ460#####2170,LU64#####4D3,LINV-#####0GrvAY,success,paid,new policy transaction,pet,monthly,stripe,spreedly_stripe,True,1,67.66,usd,apple_pay,MasterCard,,2025-05-27 23:59:33,2025-05-27 23:59:32
52128238,LPP06#####105,LPQ972#####7867,LU49#####F08,LINV-#####sD9-ro,success,paid,new policy transaction,pet,monthly,stripe,spreedly_stripe,True,1,14.61,usd,apple_pay,Visa,,2025-05-27 12:23:33,2025-05-27 12:23:33
52177661,LPP73#####296,LPQ203#####1663,LU29#####006,LINV-#####pfJF-9,success,paid,new policy transaction,pet,monthly,stripe,spreedly_stripe,True,1,39.97,usd,apple_pay,Visa,,2025-05-27 20:45:06,2025-05-27 20:45:06
55239974,LPP96#####619,LPQ715#####3688,LU39#####B05,LINV-#####ky7RR0,success,paid,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,1,81.37,usd,apple_pay,Visa,,2025-06-22 9:41:41,2025-06-22 9:41:41
56844275,LPP69#####732,LPQ998#####0405,LU47#####384,LINV-#####zW4H7P,success,paid,dunning transaction,pet,monthly,adyen,spreedly_adyen,True,1,68.89,usd,apple_pay,MasterCard,,2025-07-03 11:34:02,2025-06-24 15:31:39
55760176,LPP18#####218,LPQ375#####0548,LU75#####004,LINV-#####Yd_ygJ,success,paid,recurring transaction,pet,monthly,adyen,spreedly_adyen,True,1,76.18,usd,apple_pay,Visa,,2025-06-26 13:56:00,2025-06-26 13:55:59
55843494,LPP43#####711,LPQ411#####8290,LU12#####181,LINV-#####c-SWv8,success,paid,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,1,47.61,usd,apple_pay,MasterCard,,2025-06-27 10:45:24,2025-06-27 10:45:24
55238925,LPP51#####779,LPQ179#####5176,LU39#####805,LINV-#####QzQ4fs,success,paid,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,1,84.57,usd,apple_pay,MasterCard,,2025-06-22 9:36:07,2025-06-22 9:36:07
55972874,LPP17#####239,LPQ583#####2423,LU49#####984,LINV-#####Y1ybEx,success,paid,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,1,41.06,usd,apple_pay,American Express,,2025-06-28 11:13:30,2025-06-28 11:13:29
56013909,LPP75#####058,LPQ055#####2624,LU4E#####708,LINV-#####TzTyDn,success,paid,recurring transaction,pet,monthly,adyen,spreedly_adyen,True,1,41.17,usd,apple_pay,MasterCard,,2025-06-28 14:05:42,2025-06-28 14:05:41
55975966,LPP58#####360,LPQ542#####3590,LU39#####C05,LINV-#####j8DeMD,success,paid,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,1,71.58,usd,apple_pay,Visa,,2025-06-28 11:28:19,2025-06-28 11:28:18
57228454,LPP90#####550,LPQ283#####3344,LU39#####D05,LINV-#####NohzHp,refused,error,dunning transaction,pet,monthly,stripe,spreedly_stripe,True,1,43.97,usd,apple_pay,Visa,Your card was declined.,2025-07-06 11:28:31,2025-06-30 11:28:16
56780314,LPP04#####803,LPQ050#####3149,LU6B#####E73,LINV-#####sHRyMR,refused,error,dunning transaction,pet,monthly,stripe,spreedly_stripe,True,1,33.87,usd,apple_pay,Visa,Your card has insufficient funds.,2025-07-02 19:29:03,2025-06-29 14:23:22
52301339,LPP53#####142,LPQ624#####5515,LU12#####FC1,LINV-#####NTUbm-,success,paid,new policy transaction,pet,monthly,adyen,spreedly_adyen,True,1,70.35,usd,apple_pay,Visa,,2025-05-28 21:51:59,2025-05-28 21:51:59
56015107,LPP73#####296,LPQ203#####1663,LU29#####006,LINV-#####xeBcAS,error,error,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,1,39.97,usd,apple_pay,Visa,Your card has insufficient funds.,2025-06-28 14:09:51,2025-06-28 14:09:51
55939879,LPP16#####371,LPQ306#####7040,LU29#####E06,LINV-#####xka5B_,error,error,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,1,24.76,usd,apple_pay,Visa,Your card was declined.,2025-06-28 8:34:32,2025-06-28 8:34:32
52069892,LPP83#####258,LPQ285#####6596,LU81#####8D9,LINV-#####8F9UR-,success,paid,new policy transaction,pet,monthly,stripe,spreedly_stripe,True,1,70.02,usd,apple_pay,MasterCard,,2025-05-26 23:15:46,2025-05-26 23:15:46
56438244,LPP16#####371,LPQ306#####7040,LU29#####E06,LINV-#####xka5B_,refused,error,dunning transaction,pet,monthly,stripe,spreedly_stripe,True,1,24.76,usd,apple_pay,Visa,Your card was declined.,2025-07-01 10:31:43,2025-06-28 8:34:32
52050683,LPP25#####047,LPQ061#####5748,LU59#####A47,LINV-#####p4DChO,success,paid,new policy transaction,pet,monthly,adyen,spreedly_adyen,True,1,55.05,usd,apple_pay,MasterCard,,2025-05-26 14:43:01,2025-05-26 14:43:00
52070091,,LPQ139#####0774,LU49#####184,LINV-#####Pl44LD,error,canceled,new policy transaction,pet,annual,stripe,spreedly_stripe,True,2,277.81,usd,apple_pay,Visa,Your card was declined.,2025-05-26 23:38:27,2025-05-26 23:38:27
52187822,LPP83#####696,LPQ995#####0172,LU29#####706,LINV-#####l8kvp0,success,paid,new policy transaction,pet,annual,adyen,spreedly_adyen,True,1,444.1,usd,apple_pay,Visa,,2025-05-28 1:36:17,2025-05-28 1:36:17
52179890,LPP93#####764,LPQ790#####2919,LU9D#####E32,LINV-#####ehEXEO,success,paid,new policy transaction,pet,monthly,stripe,spreedly_stripe,True,1,51.09,usd,apple_pay,Visa,,2025-05-27 22:42:34,2025-05-27 22:42:34
52180097,LPP19#####499,LPQ179#####6585,LU4E#####208,LINV-#####g3jxrJ,success,paid,new policy transaction,pet,monthly,adyen,spreedly_adyen,True,1,55.63,usd,apple_pay,Visa,,2025-05-27 22:54:01,2025-05-27 22:54:01
58689631,LPP00#####352,LPQ998#####9106,LU6B#####293,LINV-#####zDsNIo,refused,error,dunning transaction,pet,monthly,stripe,spreedly_stripe,True,1,80.62,usd,apple_pay,Visa,Your card was declined.,2025-07-17 10:59:29,2025-06-29 10:59:20
55538192,LPP39#####667,LPQ687#####6001,LU51#####2C7,LINV-#####N0hILm,success,paid,recurring transaction,pet,monthly,cko,spreedly_cko,True,1,85.8,usd,apple_pay,Visa,,2025-06-24 15:30:44,2025-06-24 15:30:44
55535186,LPP64#####858,LPQ039#####3144,LU6B#####E53,LINV-#####EKMzDb,refused,paid,recurring transaction,pet,monthly,cko,spreedly_cko,True,3,49.53,usd,apple_pay,Visa,Declined - Do Not Honour,2025-06-24 15:15:09,2025-06-24 15:15:09
55458291,LPP87#####317,LPQ807#####3819,LU12#####281,LINV-#####e0PDmY,refused,paid,recurring transaction,pet,monthly,cko,spreedly_cko,True,3,69.99,usd,apple_pay,Visa,Insufficient Funds,2025-06-24 8:44:53,2025-06-24 8:44:53
55467039,LPP62#####296,LPQ049#####6309,LU7D#####3A4,LINV-#####G7ReEr,success,paid,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,1,55.54,usd,apple_pay,Visa,,2025-06-24 9:38:04,2025-06-24 9:38:04
